# m1_detect	m2_detect	luminosity_dustance	cos_theta_jn	s1z	s2z
3.830137292773734714e+01 3.356500233866027116e+01 3.785815383652331434e+02 -8.386228111578505340e-01 1.833093797241266325e-03 1.731927328243231673e-02
3.748465339890127979e+01 3.587222446702445922e+01 5.104454838894410500e+02 -9.270078296343311486e-01 -9.576933192134103046e-02 9.876882564898357975e-02
3.674527411146785738e+01 3.658570022621782414e+01 3.053523687700756000e+02 -7.109426555789781776e-01 1.989298676680984479e-01 -8.362175644372772665e-02
4.070508448404370228e+01 3.098138719653108808e+01 2.903304482253469132e+02 -4.256128758203472362e-01 -1.970050544935780801e-02 -9.749720041677033266e-02
3.827745909436274729e+01 3.531309870918211402e+01 4.256261407851466174e+02 -9.519512483702302630e-01 -6.812609936624181017e-02 2.168681228742743439e-01
3.900431065470278469e+01 3.020640057339706175e+01 4.389598799362609611e+02 -8.485349864925172403e-01 4.403674635145144595e-03 -3.137983912949550702e-01
4.124850846652564940e+01 3.099761887887741452e+01 5.101814606767921987e+02 -9.044988206145097021e-01 -4.150926023550267907e-02 1.526093025971159318e-03
4.139280234155809524e+01 3.288650252978385424e+01 5.600115162642779296e+02 -9.989058999305612252e-01 -2.250025704885250111e-01 4.506688363611075498e-01
4.069622853978488308e+01 2.918568637829764256e+01 2.699713035447337006e+02 -8.574147501378148739e-01 -2.583858446429893041e-01 3.580472092495514194e-03
4.016355306142176573e+01 3.379450321880269570e+01 5.589149365751546839e+02 -9.946129977924720311e-01 1.222013282456016897e-01 -4.944312367425408861e-02
3.759706175282481411e+01 3.484411092855394543e+01 2.836021818538368393e+02 -7.182832681689502730e-01 -2.086609754359511626e-01 1.575314749891145172e-01
4.428053745941208064e+01 2.934737233769948972e+01 5.433303491013439270e+02 -9.932800730460161764e-01 1.941012841401484335e-01 -2.913929276592028272e-01
3.828883018902259039e+01 3.504340308419305217e+01 4.263042004092819184e+02 -9.939563331546389380e-01 -1.248336429420903934e-02 8.412428325039489688e-03
3.970305325854359069e+01 3.308008476338034143e+01 4.090355564003894528e+02 -9.720776372477600846e-01 7.361164643644473038e-02 -8.314199840912660233e-02
3.845537884172364329e+01 3.593463242062763641e+01 4.903957066415817394e+02 -9.104534817141786140e-01 8.654560000091418570e-02 1.610456162047800566e-02
3.471260520035569641e+01 3.443236874425991090e+01 4.094766343882879482e+02 -9.936689072911116805e-01 6.195318656373497573e-02 -3.921727535676153287e-01
4.034232410484223408e+01 2.987162642112618727e+01 4.615881012517770046e+02 -9.891504282860797970e-01 -8.169643366497142400e-02 -1.368346553039040125e-01
4.059273234771343652e+01 3.694630231683673571e+01 7.007378387617704902e+02 -9.685313861325252072e-01 2.515499629415993144e-01 -3.479474710891910377e-02
3.663628102511579954e+01 3.544568422448811162e+01 5.450455241364921903e+02 -9.388731988294128916e-01 8.566936507541812740e-02 -9.183976260899444355e-02
3.895139766639889700e+01 3.237828364311884854e+01 3.670250339008395599e+02 5.765883243683053161e-01 -7.841047227502388750e-02 -8.026735074585401863e-02
4.201455720870354327e+01 3.004783343640152182e+01 5.879841782485617614e+02 -9.417490154615650866e-01 -8.305749728806620380e-02 4.985262072278644208e-02
3.850156320213843486e+01 3.533046900697203085e+01 5.570830939063379219e+02 -9.564869080902775877e-01 -1.418231832221593658e-01 2.451903927775763437e-01
3.944525280291404812e+01 3.510013267794938940e+01 4.888395110300040187e+02 -8.651529147831743538e-01 -6.583114406175993166e-03 1.624087559175046991e-01
